model_name,color_hist,pca
random_forest,0.686449060336,0.668644906034
xgboost,0.79440870856,0.71315529179
naive_bayes,0.59940652819,0.623145400593
extra_tree,0.673590504451,0.660731948566
knn,0.705838693716,0.686449060336
