art_movement,author_id,bio_url,birth_year,death_year,first_name,last_name,nationality,num_works
Baroque,2948,http://www.the-athenaeum.org/people/detail.php?ID=2948,1646,1723.0,Godfrey,Kneller,English,441
Northern Renaissance,319,http://www.the-athenaeum.org/people/detail.php?ID=319,1471,1528.0,Albrecht,Dürer,German,438
Hudson River School,439,http://www.the-athenaeum.org/people/detail.php?ID=439,1830,1902.0,Albert,Bierstadt,American,428
Expressionist,383,http://www.the-athenaeum.org/people/detail.php?ID=383,1885,1930.0,Jules,Pascin,Bulgarian,419
Neoclassicist,4253,http://www.the-athenaeum.org/people/detail.php?ID=4253,1708,1787.0,Pompeo,Batoni,Italian,417
Post-Impressionist,459,http://www.the-athenaeum.org/people/detail.php?ID=459,1863,1935.0,Paul,Signac,French,414
Peredvizhniki,2402,http://www.the-athenaeum.org/people/detail.php?ID=2402,1839,1915.0,Konstantin Yegorovich,Makovsky,Russian,406
Academist,440,http://www.the-athenaeum.org/people/detail.php?ID=440,1829,1905.0,Jean-Jacques,Henner,French,400
,522,http://www.the-athenaeum.org/people/detail.php?ID=522,1833,1905.0,William Trost,Richards,American,399
Academist,25,http://www.the-athenaeum.org/people/detail.php?ID=25,1836,1912.0,Lourens,Alma-tadema,Dutch,387
Ashcan,663,http://www.the-athenaeum.org/people/detail.php?ID=663,1865,1925.0,Robert,Henri,American,375
,1751,http://www.the-athenaeum.org/people/detail.php?ID=1751,1862,1939.0,Henri,Le sidaner,French,372
Expressionist,350,http://www.the-athenaeum.org/people/detail.php?ID=350,1890,1918.0,Egon,Schiele,Austrian,364
Expressionist,11,http://www.the-athenaeum.org/people/detail.php?ID=11,1866,1944.0,Wassily,Kandinsky,Russian,360
Hudson River School,435,http://www.the-athenaeum.org/people/detail.php?ID=435,1837,1926.0,Thomas,Moran,American,351
Impressionist,374,http://www.the-athenaeum.org/people/detail.php?ID=374,1844,1926.0,Mary,Cassatt,American,351
Expressionist,153,http://www.the-athenaeum.org/people/detail.php?ID=153,1880,1916.0,Franz,Marc,German,347
,363,http://www.the-athenaeum.org/people/detail.php?ID=363,1843,1931.0,Giovanni,Boldini,Italian,340
Post-Impressionist,381,http://www.the-athenaeum.org/people/detail.php?ID=381,1862,1926.0,Theo,Van rysselberghe,Belgian,335
,3110,http://www.the-athenaeum.org/people/detail.php?ID=3110,1866,1932.0,Ramon,Casas y carbó,Spanish,329
Expressionist,98,http://www.the-athenaeum.org/people/detail.php?ID=98,1884,1920.0,Amedeo,Modigliani,Italian,322
