file_name,width,height
gogh_van_21_waterc01.jpg,1200,903
gogh_van_21_waterc02.jpg,1100,1438
gogh_van_21_waterc03.jpg,1300,1039
gogh_van_21_waterc04.jpg,1363,900
gogh_van_21_waterc05.jpg,1196,900
gogh_van_21_waterc06.jpg,1300,881
gogh_van_21_waterc07.jpg,1295,900
gogh_van_21_waterc08.jpg,1228,900
gogh_van_21_waterc09.jpg,933,930
gogh_van_21_waterc10.jpg,1364,1000
gogh_van_21_waterc11.jpg,1400,951
gogh_van_21_waterc12.jpg,800,1039
monet_08_1london1.jpg,1252,800
monet_08_1london2.jpg,1084,700
monet_08_1london3.jpg,1216,1100
monet_08_1london4.jpg,1141,1000
monet_08_2venice1.jpg,1060,1200
monet_08_2venice2.jpg,1138,800
monet_08_2venice3.jpg,1045,1300
monet_08_2venice4.jpg,1565,1238
monet_08_2venice5.jpg,1300,1001
monet_08_3bridge1.jpg,850,1102
monet_08_3bridge2.jpg,1158,1100
monet_08_3bridge3.jpg,1120,1000
monet_08_3bridge4.jpg,1143,1100
monet_08_3bridge5.jpg,1330,1000
monet_08_6irises1.jpg,1343,1181
monet_08_6irises2.jpg,1100,1214
monet_08_7liliy01.jpg,1200,1054
monet_08_7liliy02.jpg,1212,1200
monet_08_7liliy03.jpg,1110,1100
monet_08_7liliy04.jpg,1050,466
monet_08_7liliy05.jpg,1597,499
monet_08_7liliy06.jpg,1110,1100
monet_08_7liliy07.jpg,1600,773
monet_08_7liliy08.jpg,1281,600
monet_08_8willow.jpg,876,1150
rembrand_91nonrem_01noremb.jpg,452,650
rembrand_91nonrem_02noremb.jpg,630,841
rembrand_91nonrem_03noremb.jpg,800,962
rembrand_91nonrem_04noremb.jpg,601,800
rembrand_91nonrem_05noremb.jpg,670,800
rembrand_91nonrem_06noremb.jpg,800,972
rembrand_91nonrem_07noremb.jpg,1255,900
rembrand_91nonrem_08noremb.jpg,640,849
rembrand_91nonrem_10noremb.jpg,1300,1697
rembrand_91nonrem_11noremb.jpg,1043,1300
rembrand_91nonrem_12noremb.jpg,1299,1600
rembrand_91nonrem_13noremb.jpg,1305,1600
rembrand_91nonrem_14noremb.jpg,1320,1600
rembrand_91nonrem_15noremb.jpg,722,850
rembrand_91nonrem_16noremb.jpg,807,1070
rembrand_91nonrem_17noremb.jpg,1038,1300
rembrand_91nonrem_18noremb.jpg,1434,1600
rembrand_91nonrem_19noremb.jpg,1084,1400
rembrand_91nonrem_20noremb.jpg,1368,1700
rembrand_91nonrem_21noremb.jpg,1000,1202
