author_id,last_name,first_name
24,Renoir,Pierre Auguste
1793,Munch,Edvard
368,Sargent,John Singer
13,Monet,Oscar-Claude
1315,Turner,Joseph Mallord William
418,Boudin,Eugène
444,Pissarro,Camille
9266,North,Marianne
789,Gogh,Vincent Willem van
110,Corot,Jean-Baptiste-Camille
